model,mitigation,decoding,benchmark,bias_type,n_items,n_disambiguated,n_ambiguous,accuracy_supported,bias_ambiguous,unknown_rate_ambiguous,confidence_correct,confidence_incorrect_stereotype,spr,spr_ci_low,spr_ci_high,lms,ss,icat
google/gemma-2-9b-it,baseline,deterministic,bbq,gender,14,5.0,9.0,1.0,0.1111111111111111,0.1111111111111111,1.0,1.0,,,,,,
google/gemma-2-9b-it,baseline,deterministic,bbq,race,6,4.0,2.0,0.5,0.0,1.0,1.0,,,,,,,
google/gemma-2-9b-it,baseline,deterministic,crows_pairs,gender,2,,,,,,,,100.0,100.0,100.0,,,
google/gemma-2-9b-it,baseline,deterministic,crows_pairs,race,13,,,,,,,,53.84615384615385,30.76923076923077,76.92307692307693,,,
google/gemma-2-9b-it,baseline,deterministic,stereoset,gender,3,,,,,,,,66.66666666666666,0.0,100.0,100.0,66.66666666666666,66.66666666666669
google/gemma-2-9b-it,baseline,deterministic,stereoset,race,12,,,,,,,,25.0,0.0,50.0,83.33333333333334,25.0,41.66666666666667
meta-llama/Meta-Llama-3-8B-Instruct,baseline,deterministic,bbq,gender,14,5.0,9.0,1.0,0.2222222222222222,0.1111111111111111,1.0,1.0,,,,,,
meta-llama/Meta-Llama-3-8B-Instruct,baseline,deterministic,bbq,race,6,4.0,2.0,1.0,0.5,0.5,1.0,1.0,,,,,,
meta-llama/Meta-Llama-3-8B-Instruct,baseline,deterministic,crows_pairs,gender,2,,,,,,,,0.0,0.0,0.0,,,
meta-llama/Meta-Llama-3-8B-Instruct,baseline,deterministic,crows_pairs,race,13,,,,,,,,15.384615384615385,0.0,38.46153846153847,,,
meta-llama/Meta-Llama-3-8B-Instruct,baseline,deterministic,stereoset,gender,3,,,,,,,,66.66666666666666,0.0,100.0,100.0,66.66666666666666,66.66666666666669
meta-llama/Meta-Llama-3-8B-Instruct,baseline,deterministic,stereoset,race,12,,,,,,,,41.66666666666667,16.666666666666664,66.66666666666666,91.66666666666666,41.66666666666667,76.3888888888889
mistralai/Mistral-7B-v0.1,baseline,deterministic,bbq,gender,14,5.0,9.0,0.4,0.2222222222222222,0.0,1.0,1.0,,,,,,
mistralai/Mistral-7B-v0.1,baseline,deterministic,bbq,race,6,4.0,2.0,0.0,0.5,0.0,,1.0,,,,,,
mistralai/Mistral-7B-v0.1,baseline,deterministic,crows_pairs,gender,2,,,,,,,,100.0,100.0,100.0,,,
mistralai/Mistral-7B-v0.1,baseline,deterministic,crows_pairs,race,13,,,,,,,,61.53846153846154,38.46153846153847,84.61538461538461,,,
mistralai/Mistral-7B-v0.1,baseline,deterministic,stereoset,gender,3,,,,,,,,66.66666666666666,0.0,100.0,100.0,66.66666666666666,66.66666666666669
mistralai/Mistral-7B-v0.1,baseline,deterministic,stereoset,race,12,,,,,,,,33.33333333333333,8.333333333333332,58.333333333333336,100.0,33.33333333333333,66.66666666666666
